Hour,NormalizedLoad
6841,0.773821414
6842,0.767244593
6843,0.745502829
6844,0.766670256
6845,0.776775231
6846,0.797624162
6847,0.79113061
6848,0.800591296
6849,0.774668241
6850,0.783930942
6851,0.777242401
6852,0.763602995
6853,0.761710213
6854,0.761029386
6855,0.734193082
6856,0.742763108
6857,0.715407014
6858,0.724867557
6859,0.727431823
6860,0.705571698
6861,0.696017803
6862,0.696642137
6863,0.684584233
6864,0.668294547
6865,0.686916499
6866,0.659115734
6867,0.661380848
6868,0.676791364
6869,0.658120212
6870,0.645134278
6871,0.679918172
6872,0.631060816
6873,0.649780361
6874,0.643800076
6875,0.620504442
6876,0.618726077
6877,0.618813533
6878,0.601540215
6879,0.602901512
6880,0.599493942
6881,0.597551984
6882,0.586404861
6883,0.608721159
6884,0.595533485
6885,0.586012888
6886,0.588838628
6887,0.580762219
6888,0.595321532
6889,0.611502311
6890,0.586078193
6891,0.595310135
6892,0.592621154
6893,0.596997934
6894,0.600954871
6895,0.601469977
6896,0.61221346
6897,0.586630608
6898,0.589032997
6899,0.587662015
6900,0.573035422
6901,0.579575856
6902,0.581930683
6903,0.55980881
6904,0.582992816
6905,0.572320648
6906,0.587270779
6907,0.5975502
6908,0.616827499
6909,0.600269482
6910,0.614636911
6911,0.616776733
6912,0.622129707
6913,0.653401631
6914,0.659356842
6915,0.653906727
6916,0.702556668
6917,0.7098913
6918,0.730470939
6919,0.742373854
6920,0.739461026
6921,0.718224444
6922,0.750808712
6923,0.744576067
6924,0.738222468
6925,0.740543784
6926,0.715925212
6927,0.716740248
6928,0.707728765
6929,0.712433565
6930,0.709062206
6931,0.735381421
6932,0.728979049
6933,0.717079978
6934,0.709360925
6935,0.727501179
6936,0.694587339
6937,0.729922523
6938,0.720630411
6939,0.714008334
6940,0.731590979
6941,0.739302813
6942,0.75714067
6943,0.769653974
6944,0.773129532
6945,0.751006432
6946,0.774870947
6947,0.75509722
6948,0.747008916
6949,0.737571495
6950,0.72716745
6951,0.714292243
6952,0.725894761
6953,0.716326249
6954,0.719698255
6955,0.743482372
6956,0.737916625
6957,0.728512387
6958,0.745208688
6959,0.735933072
6960,0.716686942
6961,0.732376326
6962,0.720219331
6963,0.718168394
6964,0.73739338
6965,0.748392425
6966,0.761507408
6967,0.779228636
6968,0.77927407
6969,0.75752822
6970,0.783931503
6971,0.767951471
6972,0.756216031
6973,0.74365427
6974,0.731808483
6975,0.724795545
6976,0.732900248
6977,0.730017474
6978,0.725415014
6979,0.745054043
6980,0.747553024
6981,0.731001158
6982,0.748239747
6983,0.748906211
6984,0.723839811
6985,0.737275691
6986,0.729667218
6987,0.727041305
6988,0.748931152
6989,0.752510442
6990,0.771527966
6991,0.790390713
6992,0.788134309
6993,0.773081069
6994,0.794711139
6995,0.775219484
6996,0.76887469
6997,0.760188209
6998,0.745425189
6999,0.730566834
7000,0.745501496
7001,0.740776548
7002,0.740227811
7003,0.757470953
7004,0.75607215
7005,0.741012923
7006,0.75957942
7007,0.759016823
7008,0.733387133
7009,0.771307012
7010,0.76347826
7011,0.748904889
7012,0.768078896
7013,0.775713216
7014,0.798675363
7015,0.789413607
7016,0.798751382
7017,0.781289963
7018,0.788510772
7019,0.780811048
7020,0.77069462
7021,0.767905047
7022,0.764548947
7023,0.738902872
7024,0.75028649
7025,0.715318907
7026,0.733375659
7027,0.735030375
7028,0.712891686
7029,0.701677517
7030,0.709197059
7031,0.700213575
7032,0.678384852
7033,0.698824713
7034,0.667512189
7035,0.672622893
7036,0.686090545
7037,0.664027527
7038,0.654115749
7039,0.688788729
7040,0.64452724
7041,0.662683893
7042,0.651746065
7043,0.633008908
7044,0.633736357
7045,0.632121268
7046,0.613153771
7047,0.614183947
7048,0.614947092
7049,0.61295646
7050,0.596653901
7051,0.623210946
7052,0.612359017
7053,0.600806701
7054,0.60263646
7055,0.592556433
7056,0.605089079
7057,0.62143047
7058,0.596193803
7059,0.60797511
7060,0.608207965
7061,0.612000489
7062,0.6143472
7063,0.617615313
7064,0.62206257
7065,0.595369278
7066,0.599234111
7067,0.602416491
7068,0.580218436
7069,0.584676798
7070,0.594468417
7071,0.571486544
7072,0.592168742
7073,0.587020122
7074,0.600185944
7075,0.610784185
7076,0.625232549
7077,0.611120637
7078,0.624736631
7079,0.630173433
7080,0.634360846
7081,0.663640008
7082,0.676030152
7083,0.672133507
7084,0.710428975
7085,0.721223586
7086,0.738968808
7087,0.754757155
7088,0.751039212
7089,0.731775083
7090,0.763254431
7091,0.748464487
7092,0.748593198
7093,0.755399461
7094,0.729946271
7095,0.726470666
7096,0.715807679
7097,0.724864819
7098,0.717548892
7099,0.738705457
7100,0.736762702
7101,0.721002841
7102,0.714499395
7103,0.735776819
7104,0.697977381
7105,0.734029042
7106,0.724324441
7107,0.720828164
7108,0.738749263
7109,0.744264785
7110,0.762312821
7111,0.774020121
7112,0.772885318
7113,0.757217333
7114,0.781606776
7115,0.761266646
7116,0.750500739
7117,0.741758299
7118,0.725539963
7119,0.721398182
7120,0.73080746
7121,0.727899209
7122,0.725194237
7123,0.745171325
7124,0.742230267
7125,0.728591151
7126,0.751037756
7127,0.745914737
7128,0.725750312
7129,0.741522579
7130,0.735358445
7131,0.733055402
7132,0.749455293
7133,0.755833719
7134,0.774455077
7135,0.790562095
7136,0.792894658
7137,0.775887643
7138,0.795704647
7139,0.780768069
7140,0.769829429
7141,0.767549095
7142,0.751102506
7143,0.740874195
7144,0.750673243
7145,0.745253275
7146,0.751077117
7147,0.768218861
7148,0.770900777
7149,0.757807985
7150,0.772098719
7151,0.766032121
7152,0.746894896
7153,0.7602012
7154,0.752402259
7155,0.755577144
7156,0.772891753
7157,0.782625625
7158,0.801729018
7159,0.815936216
7160,0.814248765
7161,0.794823217
7162,0.820003659
7163,0.802364385
7164,0.790878841
7165,0.78173593
7166,0.768100136
7167,0.754532747
7168,0.768626559
7169,0.762085899
7170,0.762122435
7171,0.78046986
7172,0.785595688
7173,0.766643965
7174,0.784698207
7175,0.77914118
7176,0.765018495
7177,0.794692171
7178,0.791055625
7179,0.773132297
7180,0.796631098
7181,0.807633755
7182,0.82029834
7183,0.816519805
7184,0.821557427
7185,0.805580074
7186,0.81323938
7187,0.799291812
7188,0.792307302
7189,0.788801193
7190,0.78126022
7191,0.759523899
7192,0.771796887
7193,0.732993968
7194,0.744957768
7195,0.748332712
7196,0.734810409
7197,0.718807943
7198,0.726319926
7199,0.711875376
7200,0.687562145
7201,0.706870102
7202,0.681916706
7203,0.685978556
7204,0.693492566
7205,0.68072207
7206,0.667650928
7207,0.697814682
7208,0.652384369
7209,0.669859636
7210,0.657391165
7211,0.644664708
7212,0.636715639
7213,0.640079851
7214,0.624840971
7215,0.622143209
7216,0.616955103
7217,0.613939169
7218,0.60721516
7219,0.632886085
7220,0.617751579
7221,0.603313568
7222,0.607361314
7223,0.598033195
7224,0.610374736
7225,0.629174581
7226,0.602337181
7227,0.614970458
7228,0.614376091
7229,0.620812113
7230,0.618450383
7231,0.626840382
7232,0.63434978
7233,0.602882883
7234,0.609394472
7235,0.611113785
7236,0.592217538
7237,0.599775002
7238,0.60403253
7239,0.579699502
7240,0.606042322
7241,0.595532185
7242,0.610856759
7243,0.627243571
7244,0.643709001
7245,0.627668396
7246,0.643044637
7247,0.649686531
7248,0.654483145
7249,0.681471367
7250,0.693720363
7251,0.691856805
7252,0.727981807
7253,0.744593798
7254,0.758886206
7255,0.780686019
7256,0.771954567
7257,0.748870044
7258,0.784132262
7259,0.77194946
7260,0.775582551
7261,0.779248565
7262,0.75504257
7263,0.75175431
7264,0.740776576
7265,0.744690606
7266,0.747295251
7267,0.770633356
7268,0.764002334
7269,0.753326172
7270,0.742274251
7271,0.759061161
7272,0.730443818
7273,0.764941828
7274,0.754953015
7275,0.751719352
7276,0.771610012
7277,0.772603996
7278,0.794975454
7279,0.804240479
7280,0.807317394
7281,0.783334018
7282,0.805996035
7283,0.794130875
7284,0.77878674
7285,0.770932379
7286,0.757261084
7287,0.746985924
7288,0.760524374
7289,0.753310113
7290,0.754667768
7291,0.774806188
7292,0.77106502
7293,0.761515517
7294,0.773442129
7295,0.772467539
7296,0.754872964
7297,0.763542599
7298,0.755309319
7299,0.750622991
7300,0.772839351
7301,0.780210191
7302,0.796197124
7303,0.813666187
7304,0.806942742
7305,0.791351246
7306,0.8083466
7307,0.794607363
7308,0.782623053
7309,0.777274082
7310,0.756621525
7311,0.753465765
7312,0.761947232
7313,0.752651575
7314,0.752175499
7315,0.77425482
7316,0.773512836
7317,0.753828972
7318,0.77114087
7319,0.770800778
7320,0.748383576
7321,0.627682522
7322,0.603887542
7323,0.61553278
7324,0.611385969
7325,0.620395656
7326,0.623755035
7327,0.6276291
7328,0.630301361
7329,0.608739109
7330,0.607971962
7331,0.61011799
7332,0.594184478
7333,0.598091988
7334,0.599988981
7335,0.582737596
7336,0.603051321
7337,0.594589873
7338,0.615338581
7339,0.62515299
7340,0.642816686
7341,0.630971406
7342,0.641044948
7343,0.64129285
7344,0.648652528
7345,0.700903686
7346,0.674707158
7347,0.684188787
7348,0.692159933
7349,0.680607452
7350,0.674991206
7351,0.702773269
7352,0.659615891
7353,0.679682013
7354,0.667964992
7355,0.658922547
7356,0.649189103
7357,0.652065632
7358,0.64098706
7359,0.636841382
7360,0.634484705
7361,0.631251591
7362,0.617952359
7363,0.638950449
7364,0.62929939
7365,0.617951265
7366,0.622101011
7367,0.617807645
7368,0.625246943
7369,0.691109901
7370,0.666431044
7371,0.663863851
7372,0.674815653
7373,0.659557412
7374,0.653626505
7375,0.679267959
7376,0.639915762
7377,0.651669316
7378,0.646641547
7379,0.633004633
7380,0.627740453
7381,0.623763972
7382,0.607885889
7383,0.611082485
7384,0.606104181
7385,0.602759049
7386,0.5944864
7387,0.621537403
7388,0.605253817
7389,0.600198436
7390,0.599511925
7391,0.594718752
7392,0.609880655
7393,0.619087781
7394,0.598096278
7395,0.607229692
7396,0.608253565
7397,0.616743979
7398,0.613663644
7399,0.619203846
7400,0.624841705
7401,0.604267846
7402,0.609733796
7403,0.608289305
7404,0.592590266
7405,0.597277394
7406,0.599810131
7407,0.586864152
7408,0.602952062
7409,0.595612698
7410,0.610695561
7411,0.623944188
7412,0.636863183
7413,0.630318021
7414,0.64162845
7415,0.64518886
7416,0.651946969
7417,0.682689638
7418,0.686729417
7419,0.688387895
7420,0.729418215
7421,0.740082127
7422,0.764859886
7423,0.775228637
7424,0.778288379
7425,0.754803061
7426,0.782615178
7427,0.779217484
7428,0.775782255
7429,0.781794226
7430,0.752637333
7431,0.757790011
7432,0.750690148
7433,0.752704373
7434,0.754070088
7435,0.76952477
7436,0.768532429
7437,0.754248639
7438,0.744999747
7439,0.762146406
7440,0.730917571
7441,0.767697678
7442,0.754193936
7443,0.757304454
7444,0.775167452
7445,0.777557447
7446,0.801840237
7447,0.813370006
7448,0.814038955
7449,0.792538341
7450,0.815155185
7451,0.800744989
7452,0.787089852
7453,0.781651847
7454,0.77059953
7455,0.759798067
7456,0.771562196
7457,0.762777226
7458,0.766361743
7459,0.785486737
7460,0.781591697
7461,0.767610516
7462,0.790224731
7463,0.782783373
7464,0.765620035
7465,0.776687199
7466,0.76836279
7467,0.766117094
7468,0.787747244
7469,0.790274645
7470,0.810080704
7471,0.82885398
7472,0.824169742
7473,0.811087434
7474,0.826286807
7475,0.813460307
7476,0.798546032
7477,0.793674355
7478,0.782133626
7479,0.769799517
7480,0.777161208
7481,0.774069349
7482,0.775788066
7483,0.794199713
7484,0.796063321
7485,0.778189382
7486,0.798464563
7487,0.792542747
7488,0.779856511
7489,0.790249017
7490,0.775852562
7491,0.776265227
7492,0.798902122
7493,0.801577189
7494,0.823842258
7495,0.836462871
7496,0.834701136
7497,0.822089673
7498,0.841758887
7499,0.820696239
7500,0.810469222
7501,0.808379419
7502,0.791180858
7503,0.77729594
7504,0.791208724
7505,0.78773004
7506,0.782880863
7507,0.802537754
7508,0.802992667
7509,0.792170718
7510,0.810386169
7511,0.80632746
7512,0.781616105
7513,0.821789117
7514,0.807786408
7515,0.794272871
